index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,New,PendingS,totla price,unit sold
23,404-6019946-2909948,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,570.48,pune,MAHARASHTRA,411044,IN,FALSE,Easy Ship,,,55000,100
24,402-3384087-4005164,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,499,TEZPUR,ASSAM,784001,IN,FALSE,,,,81250,125
25,405-8191138-5176316,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,582,RANCHI,JHARKHAND,834002,IN,FALSE,Easy Ship,,,175000,250
26,403-9230474-9657916,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,299,BILASPUR,CHHATTISGARH,495001,IN,FALSE,Easy Ship,,,325000,500
27,408-3484251-6901959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,4XL,Shipped,1,INR,459,PUNE,MAHARASHTRA,411052,IN,FALSE,,,,150000,250
28,405-7755803-4729935,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,399,BENGALURU,KARNATAKA,560037,IN,FALSE,,,,96250,175
29,404-5933402-8801952,04-30-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,,,GUWAHATI,ASSAM,781003,IN,FALSE,Easy Ship,,,82500,150
30,171-9040274-9291563,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,791,THIRUVARUR,TAMIL NADU,613704,IN,FALSE,,,,97500,150
31,403-7056319-0979561,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226010,IN,FALSE,,,,210000,300
32,404-9632124-1107550,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1233,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,FALSE,Easy Ship,,,325000,500
33,402-1465437-0579556,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,517,JEYPUR,ODISHA,764001,IN,FALSE,Easy Ship,,,180000,300
34,404-7774085-3780319,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,376,HYDERABAD,TELANGANA,500028,IN,FALSE,,,,123750,225
35,402-2764952-1492318,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226016,IN,FALSE,Easy Ship,,,96250,175
36,406-0272200-7784379,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,666,CHENNAI,TAMIL NADU,600033,IN,FALSE,,,,130000,200
37,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,487,NEW DELHI,DELHI,110092,IN,FALSE,,,,262500,375
38,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,368,NEW DELHI,DELHI,110092,IN,FALSE,,,,341250,525
39,403-4242957-8599555,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,THIRUVANANTHAPURAM,KERALA,695011,IN,FALSE,,,,180000,300
40,408-7165704-5643524,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Perfume,Free,Shipped,1,INR,699,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,,,,123750,225
41,402-8210765-3935569,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,885,JABALPUR,MADHYA PRADESH,482002,IN,FALSE,,,,110000,200
42,406-7398201-3869914,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,424,MUMBAI,MAHARASHTRA,400092,IN,FALSE,Easy Ship,,,113750,175
43,408-3478480-0881162,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1126,LUCKNOW,UTTAR PRADESH,226017,IN,FALSE,,,,245000,350
44,402-7595162-9129931,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,MUMBAI,MAHARASHTRA,400076,IN,FALSE,,,,308750,475
45,171-6876154-6233146,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,759,KOLKATA,WEST BENGAL,700014,IN,FALSE,,,,137500,275
46,408-3917043-5314763,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1146,ONGOLE,ANDHRA PRADESH,523001,IN,FALSE,,,,90000,200
47,408-9281152-6213100,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,665,SECUNDERABAD,TELANGANA,500017,IN,FALSE,,,,78750,175
48,403-3496411-3082707,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,429,HYDERABAD,TELANGANA,500062,IN,FALSE,,,,68750,125
49,171-9208368-0157156,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,KEWALPUR,UTTAR PRADESH,271881,IN,FALSE,Easy Ship,,,135000,225
50,408-2137113-0982751,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,848,CUTTACK,ODISHA,753012,IN,FALSE,,,,240000,400
51,402-3628566-9688333,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,654,BADLAPUR,MAHARASHTRA,421503,IN,FALSE,,,,112500,225
52,408-7138000-9728362,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1033,dimapur,NAGALAND,797112,IN,FALSE,,,,62500,125
53,402-1752649-2274748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,390,BENGALURU,KARNATAKA,560047,IN,FALSE,,,,50000,100
54,402-7944191-1869101,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,493,BENGALURU,KARNATAKA,560076,IN,FALSE,,,,60000,100
55,407-4063876-9566742,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,721,WARANGAL,TELANGANA,506001,IN,FALSE,,,,146250,225
56,403-0752752-4656334,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,DHAULPUR,RAJASTHAN,328024,IN,FALSE,,,,262500,375
57,406-8879861-2081117,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,GUWAHATI,ASSAM,781029,IN,FALSE,,,,120000,200
58,406-8089333-7941903,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,Bengaluru,KARNATAKA,560103,IN,FALSE,,,,117000,195
59,171-3072652-6805159,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,353,HYDERABAD,TELANGANA,500072,IN,FALSE,,,,105000,175
60,171-2592464-6846743,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,599,BENGALURU,KARNATAKA,560023,IN,FALSE,Easy Ship,,,105000,150
61,404-2262140-4696366,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,518,NAGPUR,MAHARASHTRA,440022,IN,FALSE,,,,187500,250
62,404-2262140-4696366,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,295,NAGPUR,MAHARASHTRA,440022,IN,FALSE,,,,332500,475
63,405-3594372-1614709,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,,,,165000,275
64,407-2974257-4781134,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,824,THANE,MAHARASHTRA,400607,IN,FALSE,,,,135000,225
65,171-4137548-0481151,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,,Dahod,Gujarat,389151,IN,FALSE,,,,105000,175
66,405-4461562-9113959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,909,RANCHI,JHARKHAND,834004,IN,FALSE,,,,122500,175
67,404-4535078-5241919,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,432,PUNE,MAHARASHTRA,411014,IN,FALSE,,,,206250,275
68,405-8387725-2971512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,545,BENGALURU,KARNATAKA,560040,IN,FALSE,,,,1722,41
69,405-6480932-8759528,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1146,VIJAPURA,KARNATAKA,586201,IN,FALSE,,,,2240,70
70,405-9966506-3155561,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,696,CHENNAI,TAMIL NADU,600041,IN,FALSE,Easy Ship,,,5312,166
71,408-7029737-8028367,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,432,MUMBAI,MAHARASHTRA,400080,IN,FALSE,,,,1408,44
72,407-2189901-7515567,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,631,bangalore,KARNATAKA,560001,IN,FALSE,Easy Ship,,,1350,54
73,402-2105657-2899562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,316,BENGALURU,KARNATAKA,560098,IN,FALSE,,,,476,17
74,406-1326801-8886709,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,362,BERHAMPUR,ODISHA,760002,IN,FALSE,Easy Ship,,,1560,40
75,408-7760667-5809130,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,329,HYDERABAD,TELANGANA,500085,IN,FALSE,,,,2220,74
76,405-8457623-9269955,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,PUNE,MAHARASHTRA,411045,IN,FALSE,,,,6084,156
77,408-6820155-3521913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,751,TEZPUR,ASSAM,784001,IN,FALSE,,,,1749,53
78,403-6190683-2687538,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,,,1682,58
79,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,684,Kolkata,WEST BENGAL,700048,IN,FALSE,,,,256,8
80,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1281,Kolkata,WEST BENGAL,700048,IN,FALSE,,,,984,24
81,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1186,Kolkata,WEST BENGAL,700048,IN,FALSE,,,,2318,61
82,171-7367545-7081126,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,499,HYDERABAD,TELANGANA,502032,IN,FALSE,,,,4900,140
83,404-6522553-9345930,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1105.36,DEHRADUN,UTTARAKHAND,248001,IN,FALSE,Easy Ship,,,1887,51
84,403-9950518-0349133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Cancelled,0,,,HYDERABAD,TELANGANA,500072,IN,FALSE,,,,1377,51
85,407-6599093-6553153,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Socks,3XL,Shipped,1,INR,377,KOLKATA,WEST BENGAL,700078,IN,FALSE,Easy Ship,,,864,24
86,403-3763475-2237125,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,M,Shipped,1,INR,744,DHARMAPURI,TAMIL NADU,636705,IN,FALSE,,,,1170,26
87,405-1492294-0323520,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744,DEHRADUN,UTTARAKHAND,248005,IN,FALSE,,,,2496,64
88,403-1162895-2484367,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XXL,Shipped,1,INR,859,JAIPUR,RAJASTHAN,303905,IN,FALSE,Easy Ship,,,6600,150
89,171-6833843-5473114,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,487,VADODARA,Gujarat,390019,IN,FALSE,,,,2160,54
90,403-1477057-8253913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,825,CHAVAKKAD,KERALA,680506,IN,FALSE,,,,2014,53
91,408-2114413-6089906,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,680,PATNA,BIHAR,800026,IN,FALSE,,,,1428,34
92,405-1879750-2639521,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,725,CHENNAI,TAMIL NADU,600028,IN,FALSE,Easy Ship,,,1989,39
93,406-5727754-5302723,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,696,VADODARA,Gujarat,390018,IN,FALSE,,,,3978,78
94,405-0901744-8270705,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,499,VADODARA,Gujarat,390003,IN,FALSE,,,,8330,170
95,405-9112089-3379536,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Cancelled,0,,,PUNE,MAHARASHTRA,411046,IN,FALSE,,,,3485,85
96,408-6357132-2310703,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,696,Jammu,JAMMU & KASHMIR,180011,IN,FALSE,,,,2268,54
97,406-5334922-9670748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,406,bangalore,KARNATAKA,560026,IN,FALSE,,,,2279,53
98,402-8519791-3706738,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,852,NEW DELHI,DELHI,110036,IN,FALSE,,,,2064,48
99,408-1830318-0357940,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,NARNAUND,HARYANA,125039,IN,FALSE,,,,5460,105
100,406-5103760-7326749,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,432,Ahmedabad,Gujarat,380051,IN,FALSE,,,,8575,175
101,402-7841951-1872363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,,NEW DELHI,DELHI,110036,IN,FALSE,,,,4455,99
102,408-7698765-2294756,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1338,AMBARNATH,MAHARASHTRA,421502,IN,FALSE,Easy Ship,,,3096,72
103,404-1856281-9996319,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,472,GWALIOR,MADHYA PRADESH,474005,IN,FALSE,Easy Ship,,,2184,56
104,406-5406738-7113145,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110078,IN,FALSE,,,,3200,64
105,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,832,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship,,,5800,116
106,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship,,,9129,179
107,405-2072502-4089911,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,599,ROHTAK,HARYANA,124001,IN,FALSE,,,,4488,102
108,405-0882561-5952340,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,692,Kolkata,WEST BENGAL,700156,IN,FALSE,,,,3002,79
109,403-7266170-1163500,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518,MUMBAI,MAHARASHTRA,400076,IN,FALSE,Easy Ship,,,2666,62
110,405-8114272-1687512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110034,IN,FALSE,,,,2484,54
111,171-6138639-1478731,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,318,HYDERABAD,TELANGANA,500054,IN,FALSE,,,,6027,123
112,405-4059216-4541150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,HYDERABAD,TELANGANA,500072,IN,FALSE,,,,7452,162
113,405-1152015-7333945,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,PATNA,BIHAR,800002,IN,FALSE,,,,3640,91
114,406-0177436-6731556,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,406,RAMAGUNDAM,TELANGANA,505211,IN,FALSE,,,,1920,60
115,406-0715107-8168308,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1186,PITHORAGARH,UTTARAKHAND,262501,IN,FALSE,,,,1696,53
116,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,,,1476,41
117,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,,,3792,79
118,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,,,5828,124
119,405-3002282-6797102,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,311,KOLKATA,WEST BENGAL,700057,IN,FALSE,,,,2380,68
120,407-8466904-3461908,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,387,MUMBAI,MAHARASHTRA,400101,IN,FALSE,,,,1444,38
121,171-3305587-5364338,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,348,HYDERABAD,TELANGANA,500053,IN,FALSE,,,,1360,34
122,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,597,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship,,,1290,30
123,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,549,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship,,,3108,74
124,171-2813040-8296320,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,635,KOLAR,KARNATAKA,563101,IN,FALSE,,,,5952,124
125,408-9845791-1393151,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,PATIALA,PUNJAB,147001,IN,FALSE,,,,2924,68
126,402-4277204-2348328,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,790,REWA,MADHYA PRADESH,486001,IN,FALSE,,,,3102,66
127,171-3049339-2085136,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,375,BONGAIGAON,ASSAM,783380,IN,FALSE,,,,2580,60
128,405-9928526-2470747,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1115,HYDERABAD,TELANGANA,500087,IN,FALSE,,,,2448,48
129,405-4908072-0260360,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,579,BENGALURU,KARNATAKA,560055,IN,FALSE,Easy Ship,,,68750,75
130,406-3984186-5973150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,788,Chengalpattu,TAMIL NADU,603002,IN,FALSE,,,,101250,143
131,171-8635309-7508346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597,PERAMBALUR,TAMIL NADU,621212,IN,FALSE,,,,213750,85
132,171-0293372-4913973,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,,KOLAR,KARNATAKA,563101,IN,FALSE,,,,56250,79
133,402-8288606-4313118,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,517,BILASPUR,HIMACHAL PRADESH,174001,IN,FALSE,,,,61250,53
134,402-8746990-6412346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,442,CHENNAI,TAMIL NADU,600099,IN,FALSE,,,,20000,56
135,402-0294212-5431551,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,399,VARANASI,UTTAR PRADESH,221010,IN,FALSE,,,,68750,83
136,406-1530134-2105912,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,518,BENGALURU,KARNATAKA,560036,IN,FALSE,,,,101250,36
137,403-5222550-4437140,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,348,COIMBATORE,TAMIL NADU,641035,IN,FALSE,,,,222500,61
138,408-1482435-5202714,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,788,CHIRMIRI,CHHATTISGARH,497449,IN,FALSE,Easy Ship,,,75000,119
